product_id,title,rating,ratings_count,initial_price,category,price,quantity,total_amount
9136281,Tommy Hilfiger,4.5,67,2899,backpacks,2899,7,20293
17633752,Lavie,4.4,226,2999,backpacks,2999,4,11996
1376949,F Gear,4.4,1052,1675,backpacks,1675,8,13400
13939916,MYTRIDENT,4.7,12,2899,bath-robe,2899,5,14495
17198778,H&M,4.5,42,1399,bathroom-accessories,1399,7,9793
19851824,AVI Living,4.0,5,1399,bath-towels,1399,10,13990
18602872,My Room,4.7,10,2999,bedsheets,2999,3,8997
18602850,My Room,4.5,22,2999,bedsheets,2999,7,20993
8430275,MYTRIDENT,4.4,26,2199,bedsheets,2199,8,17592
19788630,Home Ecstasy,4.5,6,1199,bedsheets,1199,5,5995
18346134,Arrabi,4.3,12,6329,bedsheets,6329,4,25316
18985918,Tommy Hilfiger,4.1,11,2999,bodysuit,2999,8,23992
21427828,London Rag,5.0,4,9599,boots,9599,8,76792
19277544,Marks & Spencer,4.3,24,2999,bra,2999,3,8997
13523458,shyaway,4.3,6,2547,bra,2547,6,15282
21873792,KARATCART,4.6,5,3397,bracelet,3397,5,16985
21573578,Jewels Galaxy,4.2,24,1329,bracelet,1329,2,2658
21569986,Chromozome,4.2,18,1199,briefs,1199,8,9592
18506050,Bata,4.4,86,1199,casual-shoes,1199,6,7194
21903832,U.S. Polo Assn.,4.1,16,4299,casual-shoes,4299,2,8598
21321784,San Frissco,4.3,6,5995,casual-shoes,5995,5,29975
21907914,MOZAFIA,4.0,225,1999,casual-shoes,1999,1,1999
21497770,Puma,4.1,111,4999,casual-shoes,4999,10,49990
18489168,TOMS,4.3,6,4999,casual-shoes,4999,6,29994
17312062,Clarks,4.6,31,6999,casual-shoes,6999,9,62991
16284648,Crew STREET,4.1,41,3099,casual-shoes,3099,1,3099
19103830,PUMA Motorsport,4.5,157,6999,casual-shoes,6999,10,69990
21937664,Cortina,4.7,15,2598,chair-cover,2598,3,7794
16712992,Cutiekins,4.1,454,1999,clothing-set,1999,7,13993
18193844,Rubans,4.1,25,1980,clutches,1980,4,7920
16694464,Ahalyaa,4.1,195,5000,co-ords,5000,9,45000
16185546,ellementry,5.0,5,1750,cutlery,1750,3,5250
21426422,Trendyol,4.1,10,4399,dresses,4399,5,21995
21238004,COVER STORY,4.8,24,3490,dresses,3490,3,10470
21664854,aarke Ritu Kumar,4.0,6,2200,dresses,2200,7,15400
21664974,Label Ritu Kumar,4.6,7,4500,dresses,4500,5,22500
21664840,aarke Ritu Kumar,4.0,6,3500,dresses,3500,9,31500
22004792,WoowZerz,4.8,26,2495,dresses,2495,7,17465
18962890,Athena,4.0,34,2499,dresses,2499,2,4998
18962984,Athena,4.3,236,2499,dresses,2499,4,9996
18951626,Berrylush,4.0,60,1899,dresses,1899,9,17091
18977246,AURELIA,4.1,140,4299,dresses,4299,2,8598
18962990,Athena,4.2,35,2499,dresses,2499,10,24990
18956684,Forevermore,4.2,5,1599,dresses,1599,9,14391
18981160,Amydus,4.7,43,2799,dresses,2799,10,27990
18962952,Athena,4.2,3797,2799,dresses,2799,5,13995
15788324,Tokyo Talkies,4.2,347,1399,dresses,1399,2,2798
15691070,QUIERO,4.1,474,2820,dresses,2820,4,11280
13770986,all about you,4.2,38,2999,dresses,2999,7,20993
17592092,U&F,4.1,7,2899,dresses,2899,8,23192
17661682,Tokyo Talkies,4.1,13,1549,dresses,1549,3,4647
17692718,Style Quotient,4.8,8,1599,dresses,1599,1,1599
17194598,Tokyo Talkies,4.3,48,1749,dresses,1749,4,6996
17194592,Tokyo Talkies,4.1,240,1749,dresses,1749,2,3498
18996672,Bella Moda,4.6,8,2017,dresses,2017,8,16136
15191784,Kazo,4.0,35,3690,dresses,3690,4,14760
19213200,Label Ritu Kumar,4.8,5,5200,dresses,5200,2,10400
19987092,Vastralay,4.2,17,2999,dresses,2999,6,17994
10054817,Veni Vidi Vici,4.3,110,1890,dresses,1890,6,11340
10054855,Veni Vidi Vici,4.2,389,1890,dresses,1890,10,18900
10691426,SASSAFRAS,4.5,4441,2199,dresses,2199,4,8796
18963006,Athena,4.3,45,2499,dresses,2499,6,14994
19513066,Stylecast X Hersheinbox,4.5,11,2559,dresses,2559,2,5118
18975316,Berrylush,4.2,31,3200,dresses,3200,10,32000
21664826,aarke Ritu Kumar,4.0,6,2800,dresses,2800,2,5600
21242962,Tommy Hilfiger,4.4,9,5999,dresses,5999,10,59990
21653646,ONLY,4.6,5,3299,dresses,3299,4,13196
20022902,Slenor,4.4,10,3599,dresses,3599,8,28792
22590642,YU by Pantaloons,4.8,12,1499,dresses,1499,7,10493
13572604,Tokyo Talkies,4.2,58,1799,dresses,1799,9,16191
13649832,all about you,4.3,56,1999,dresses,1999,8,15992
13387584,Wish Karo,4.1,11,1999,dresses,1999,5,9995
22622806,HERE&NOW,4.0,22,2999,dresses,2999,2,5998
13558254,Tokyo Talkies,4.1,934,1349,dresses,1349,5,6745
13586840,all about you,4.0,29,1899,dresses,1899,8,15192
13586818,all about you,4.0,208,1899,dresses,1899,10,18990
13406942,Global Desi,4.8,8,1799,dresses,1799,9,16191
1341220,Miss Chase,4.4,22,1149,dresses,1149,9,10341
13387582,Wish Karo,4.7,18,2123,dresses,2123,1,2123
