transaction_id,customer_id,category,total_amount,quantity,payment_method,location,timestamp,unit_price,order_size_category,is_high_value,tx_year,tx_month
TXN-1000001,6883,Beauty,64.96,4,Debit Card,New York,2025-10-20T20:51:30.000+05:30,16.24,Medium,false,2025,10
TXN-1000002,5842,Sports,97.81,8,Unknown,London,2025-08-28T20:55:27.000+05:30,12.23,Bulk,false,2025,8
TXN-1000003,8909,Books,272.36,7,PayPal,Sydney,2025-04-03T01:09:42.000+05:30,38.91,Medium,false,2025,4
TXN-1000004,3501,Beauty,495.84,1,Credit Card,San Francisco,2025-03-17T21:49:23.000+05:30,495.84,Small,false,2025,3
TXN-1000005,7368,Beauty,207.34,4,Credit Card,Berlin,2025-08-22T13:41:56.000+05:30,51.84,Medium,false,2025,8
TXN-1000006,5915,Clothing,218.46,9,Debit Card,Tokyo,2025-11-07T16:23:24.000+05:30,24.27,Bulk,false,2025,11
TXN-1000007,10492,Clothing,1330.51,7,Debit Card,London,2025-10-26T23:18:38.000+05:30,190.07,Medium,true,2025,10
TXN-1000008,1665,Sports,568.43,6,Debit Card,Mumbai,2025-10-04T00:07:26.000+05:30,94.74,Medium,true,2025,10
TXN-1000009,10212,Clothing,9.7,8,Debit Card,London,2025-05-06T17:13:44.000+05:30,1.21,Bulk,false,2025,5
TXN-1000010,8562,Sports,673.74,7,Debit Card,Berlin,2025-01-28T17:14:18.000+05:30,96.25,Medium,true,2025,1
TXN-1000011,5261,Sports,907.71,8,UPI,Berlin,2025-08-27T05:02:33.000+05:30,113.46,Bulk,true,2025,8
TXN-1000012,7455,Sports,926.94,3,Credit Card,New York,2025-09-02T21:35:39.000+05:30,308.98,Small,true,2025,9
TXN-1000013,4538,Books,498.7,3,Debit Card,New York,2025-08-21T04:19:05.000+05:30,166.23,Small,false,2025,8
TXN-1000014,8910,Home & Kitchen,313.9,1,PayPal,San Francisco,2025-08-11T10:39:51.000+05:30,313.9,Small,false,2025,8
TXN-1000015,8106,Electronics,492.53,8,PayPal,Sydney,2025-12-20T20:38:43.000+05:30,61.57,Bulk,false,2025,12
TXN-1000016,7856,Home & Kitchen,627.61,2,UPI,New York,2025-02-17T02:58:33.000+05:30,313.81,Small,true,2025,2
TXN-1000017,1153,Electronics,1037.94,1,Credit Card,Mumbai,2025-09-17T04:49:38.000+05:30,1037.94,Small,true,2025,9
TXN-1000018,6992,Beauty,1266.9,8,PayPal,Sydney,2025-01-21T03:47:24.000+05:30,158.36,Bulk,true,2025,1
TXN-1000019,1717,Books,529.58,3,Debit Card,London,2025-11-02T11:53:00.000+05:30,176.53,Small,true,2025,11
TXN-1000020,8970,Electronics,713.71,6,Credit Card,New York,2025-01-24T20:50:36.000+05:30,118.95,Medium,true,2025,1
TXN-1000021,5573,Beauty,0.0,2,Credit Card,Berlin,2025-09-22T04:47:44.000+05:30,0.0,Small,false,2025,9
