transaction_id,customer_id,timestamp_str,category,amount,quantity,payment_method,city
TXN-1000001,6883,2025-10-20 20:51:30,Beauty,64.96,4,Debit Card,New York
TXN-1000002,5842,2025-08-28 20:55:27,Sports,97.81,8,,London
TXN-1000003,8909,2025-04-03 01:09:42,Books,272.36,7,PayPal,Sydney
TXN-1000004,3501,2025-03-17 21:49:23,Beauty,495.84,,Credit Card,San Francisco
TXN-1000005,7368,2025-08-22 13:41:56,Beauty,207.34,4,Credit Card,Berlin
TXN-1000006,5915,2025-11-07 16:23:24,Clothing,218.46,9,Debit Card,Tokyo
TXN-1000007,10492,2025-10-26 23:18:38,Clothing,1330.51,7,Debit Card,London
TXN-1000008,1665,2025-10-04 00:07:26,Sports,568.43,6,Debit Card,Mumbai
TXN-1000009,10212,2025-05-06 17:13:44,Clothing,9.7,8,Debit Card,London
TXN-1000010,8562,2025-01-28 17:14:18,Sports,673.74,7,Debit Card,Berlin
TXN-1000011,5261,2025-08-27 05:02:33,Sports,907.71,8,UPI,Berlin
TXN-1000012,7455,2025-09-02 21:35:39,Sports,926.94,3,Credit Card,New York
TXN-1000013,4538,2025-08-21 04:19:05,Books,498.7,3,Debit Card,New York
TXN-1000014,8910,2025-08-11 10:39:51,Home & Kitchen,313.9,1,PayPal,San Francisco
TXN-1000015,8106,2025-12-20 20:38:43,Electronics,492.53,8,PayPal,Sydney
TXN-1000016,7856,2025-02-17 02:58:33,Home & Kitchen,627.61,2,UPI,New York
TXN-1000017,1153,2025-09-17 04:49:38,Electronics,1037.94,1,Credit Card,Mumbai
TXN-1000018,6992,2025-01-21 03:47:24,Beauty,1266.9,8,PayPal,Sydney
TXN-1000019,1717,2025-11-02 11:53:00,Books,529.58,3,Debit Card,London
TXN-1000020,8970,2025-01-24 20:50:36,Electronics,713.71,6,Credit Card,New York
TXN-1000021,5573,2025-09-22 04:47:44,Beauty,,2,Credit Card,Berlin
TXN-1000022,7946,2025-12-24 15:58:13,Books,308.05,9,Credit Card,Berlin
TXN-1000023,6143,2025-08-24 20:28:00,Beauty,309.01,2,Credit Card,Tokyo
TXN-1000024,9485,2025-06-26 16:31:58,Home & Kitchen,1126.91,6,PayPal,Berlin
TXN-1000025,8012,2025-02-11 19:07:48,Books,368.88,1,UPI,New York
TXN-1000026,3944,2025-10-14 21:15:33,Clothing,621.14,3,PayPal,Mumbai
TXN-1000027,2646,2025-01-03 01:38:45,Home & Kitchen,482.47,1,Debit Card,Berlin
TXN-1000028,3265,2025-07-19 07:57:36,Sports,683.22,5,Debit Card,Mumbai
TXN-1000029,7722,2025-10-07 23:23:33,Sports,63.09,6,,New York
TXN-1000030,8767,2025-06-30 14:39:43,Electronics,1394.36,9,PayPal,Tokyo
TXN-1000031,8178,2025-08-29 08:18:53,Clothing,489.0,9,PayPal,New York
TXN-1000032,2957,2025-01-05 04:14:33,Home & Kitchen,706.08,5,Debit Card,Berlin
TXN-1000033,8598,2025-10-31 18:20:25,Beauty,610.01,6,Debit Card,London
TXN-1000034,6413,2025-02-05 23:22:29,Sports,1442.6,2,Debit Card,London
TXN-1000035,8428,2025-01-29 08:28:31,Sports,746.51,8,Credit Card,Mumbai
TXN-1000036,9199,2025-11-22 05:21:20,Electronics,1490.37,7,Credit Card,New York
TXN-1000037,2581,2025-03-10 22:28:37,Home & Kitchen,1222.74,4,,Sydney
TXN-1000038,5323,2025-11-23 18:31:58,Home & Kitchen,733.28,1,PayPal,Berlin
TXN-1000039,2539,2025-04-06 17:16:49,Clothing,488.27,8,PayPal,Tokyo
TXN-1000040,7999,2025-10-08 04:55:08,Home & Kitchen,590.11,5,UPI,London
TXN-1000041,3509,2025-04-16 13:51:17,Home & Kitchen,1121.41,1,UPI,Tokyo
TXN-1000042,5746,2025-07-21 03:37:47,Books,1146.87,6,UPI,London
TXN-1000043,8351,2025-04-01 12:01:44,Home & Kitchen,1078.36,6,Credit Card,New York
TXN-1000044,8057,2025-04-11 20:53:53,Home & Kitchen,670.42,,,Sydney
TXN-1000045,6412,2025-06-28 09:59:09,Sports,805.45,2,PayPal,Tokyo
TXN-1000046,8752,2025-10-22 19:46:26,Books,1263.88,5,PayPal,New York
TXN-1000047,9292,2025-08-25 11:22:55,Home & Kitchen,1091.23,,,Tokyo
TXN-1000048,10464,2025-04-14 07:51:10,Electronics,196.89,2,UPI,New York
TXN-1000049,2312,2025-10-23 20:04:15,Books,1189.05,3,Debit Card,Berlin
TXN-1000050,9486,2025-01-27 23:48:10,Electronics,333.33,6,Debit Card,Tokyo
TXN-1000051,1795,2025-06-17 06:40:43,Beauty,1438.64,8,PayPal,Tokyo
TXN-1000052,9232,2025-06-01 15:10:39,Beauty,721.48,7,Debit Card,Tokyo
TXN-1000053,6696,2025-03-02 21:33:56,Beauty,1449.14,,,Berlin
TXN-1000054,5606,2025-03-17 07:29:34,Beauty,276.8,5,UPI,Mumbai
TXN-1000055,3612,2025-01-01 22:50:27,Books,516.46,5,PayPal,New York
TXN-1000056,9884,2025-12-28 23:43:53,Clothing,1294.59,9,Credit Card,Berlin
TXN-1000057,7827,2025-11-27 19:36:39,Electronics,754.54,9,Debit Card,Mumbai
TXN-1000058,5338,2025-07-24 08:37:11,Clothing,965.42,1,PayPal,Sydney
TXN-1000059,1524,2025-09-28 15:01:59,Home & Kitchen,279.57,1,Debit Card,New York
TXN-1000060,6267,2025-12-22 02:20:09,Books,1438.55,6,Debit Card,Berlin
TXN-1000061,5982,2025-12-31 01:24:34,Electronics,1318.01,3,PayPal,New York
TXN-1000062,7035,2025-10-20 04:18:56,Books,779.45,2,PayPal,San Francisco
TXN-1000063,9430,2025-08-09 00:02:50,Beauty,1321.12,6,,New York
TXN-1000064,1941,2025-02-27 22:02:17,Electronics,1111.55,5,PayPal,Berlin
TXN-1000065,8328,2025-05-01 18:02:12,Clothing,978.27,6,Debit Card,San Francisco
TXN-1000066,2665,2025-02-10 17:15:46,Clothing,1331.67,6,Credit Card,Berlin
TXN-1000067,1596,2025-02-19 11:37:05,Beauty,647.59,2,Credit Card,London
TXN-1000068,2685,2025-02-21 10:23:11,Home & Kitchen,1410.32,,Credit Card,New York
TXN-1000069,5435,2025-12-08 04:32:12,Home & Kitchen,1019.85,7,UPI,Berlin
TXN-1000070,9435,2025-01-01 09:29:17,Sports,103.07,8,Credit Card,Sydney
TXN-1000071,8516,2025-03-17 09:32:28,Books,522.63,8,PayPal,Tokyo
TXN-1000072,5196,2025-06-29 21:31:08,Electronics,453.52,8,Credit Card,Berlin
TXN-1000073,1642,2025-08-29 08:25:01,Beauty,802.91,5,UPI,San Francisco
TXN-1000074,4027,2025-02-19 16:15:36,Clothing,720.88,8,,Berlin
TXN-1000075,6803,2025-09-20 06:08:18,Electronics,1482.12,1,Credit Card,Sydney
TXN-1000076,7653,2025-07-02 17:58:02,Sports,100.31,2,Debit Card,Mumbai
