item_id,order_id,product_id,quantity,unit_price
1,1001,103,4,449.0
2,1001,116,3,39.99
3,1002,117,1,180.0
4,1003,107,4,59.99
5,1003,119,3,18.5
6,1004,103,3,449.0
7,1005,106,3,24.99
8,1006,107,5,59.99
9,1007,113,3,29.99
10,1007,103,2,449.0
11,1008,119,5,18.5
12,1008,113,3,29.99
13,1009,105,1,-25.0
14,1009,103,1,449.0
15,1009,117,4,180.0
16,1009,112,2,79.99
17,1010,111,5,34.5
18,1011,111,4,34.5
19,1011,101,2,199.99
20,1011,109,3,110.0
21,1011,115,5,0.0
22,1012,114,5,45.0
23,1012,106,3,24.99
24,1012,113,2,29.99
25,1012,103,1,449.0
26,1013,109,2,110.0
27,1014,105,1,-25.0
28,1014,113,1,29.99
29,1014,111,1,34.5
30,1014,112,-1,79.99
31,1015,112,1,79.99
32,1015,109,2,110.0
33,1015,104,4,14.99
34,1015,105,4,-25.0
35,1016,104,5,14.99
36,1016,101,1,199.99
37,1016,103,5,449.0
38,1016,112,5,79.99
39,1017,113,4,29.99
40,1017,101,4,199.99
41,1017,110,1,19.99
42,1018,119,2,18.5
43,1018,117,4,180.0
44,1019,105,3,-25.0
45,1019,109,0,110.0
46,1020,105,3,-25.0
47,1020,103,4,449.0
48,1020,106,3,24.99
49,1020,114,4,45.0
50,1021,88888,3,79.99
51,1022,116,4,39.99
52,1022,107,1,59.99
53,1023,110,4,19.99
54,1023,101,3,199.99
55,1024,111,5,34.5
56,1024,115,2,0.0
57,1024,120,3,22.0
58,1024,114,3,45.0
59,1025,116,2,39.99
60,1025,111,-1,34.5
61,1026,110,3,19.99
62,1026,116,4,39.99
63,1026,108,3,89.0
64,1027,112,5,79.99
65,1027,104,1,14.99
66,1027,107,4,59.99
67,1027,106,2,24.99
68,1028,110,2,19.99
69,1028,103,3,449.0
70,1028,114,2,22.5
71,1028,116,3,39.99
72,1029,114,1,45.0
73,1029,113,4,29.99
74,1030,119,4,18.5
75,1030,113,5,29.99
76,1030,118,1,29.99
77,1030,117,3,180.0
78,1031,104,2,14.99
79,1032,106,3,24.99
80,1032,102,4,89.5
81,1032,113,1,29.99
82,1033,104,3,14.99
83,1034,117,5,180.0
84,1034,120,5,22.0
85,1035,115,4,0.0
86,1035,112,4,79.99
87,1036,112,4,79.99
88,1036,101,1,199.99
89,1037,114,2,45.0
90,1037,103,-1,449.0
91,1037,104,3,14.99
92,1038,115,4,0.0
93,1038,107,3,59.99
94,1038,117,4,180.0
95,1039,115,4,0.0
96,1040,103,1,449.0
97,1040,110,1,19.99
98,1040,102,3,89.5
99,1041,106,2,24.99
100,1042,88888,3,29.99
101,1042,106,5,24.99
102,1043,115,2,0.0
103,1043,108,4,89.0
104,1043,113,4,29.99
105,1043,106,1,24.99
106,1044,115,4,0.0
107,1044,119,4,18.5
108,1045,107,2,59.99
109,1046,103,5,449.0
110,1046,119,2,18.5
111,1046,104,3,14.99
112,1047,107,3,59.99
113,1047,115,4,0.0
114,1047,104,5,14.99
115,1048,120,5,22.0
116,1048,113,1,29.99
117,1048,119,3,18.5
118,1049,115,5,0.0
119,1049,106,5,24.99
120,1049,110,-1,19.99
