order_id,customer_id,order_date,order_status,payment_method
1001,174,2024-04-12,Cancelled,Debit Card
1002,30,2024-01-08,Completed,PayPal
1003,68,2024-05-28,Completed,Credit Card
1004,112,2024-06-01,Completed,Debit Card
1005,156,21-04-2024,Cancelled,Credit Card
1006,148,2024-04-08,Completed,Debit Card
1007,182,2024-01-12,Pending,Credit Card
1008,138,2024-05-13,Returned,PayPal
1009,111,2024-04-03,Completed,Debit Card
1010,81,2024-06-08,Returned,Credit Card
1011,130,2024-03-17,Completed,Apple Pay
1012,104,2024-03-24,Returned,Debit Card
1013,33,2024-05-21,Completed,Apple Pay
1014,98,2024-06-19,Returned,PayPal
1015,146,2029-06-15,Completed,Apple Pay
1016,1,2024-05-20,Completed,Debit Card
1017,111,2024-02-23,Cancelled,Debit Card
1018,114,2024-04-29,Pending,PayPal
1019,122,2024-05-10,Returned,PayPal
1020,22,,Completed,Debit Card
1021,193,2024-01-24,Completed,Debit Card
1022,51,2024-02-27,Completed,Credit Card
1023,63,2024-01-12,Pending,Credit Card
1024,107,2024-04-26,Returned,PayPal
1025,99,2024-06-27,Pending,Apple Pay
1026,38,2024-03-03,Returned,Credit Card
1027,200,2024-01-28,Pending,PayPal
1028,179,2024-02-15,Cancelled,Apple Pay
1029,143,2024-01-13,Completed,Credit Card
1030,35,2024-04-26,Pending,Debit Card
1031,157,2024-04-23,Returned,Apple Pay
1032,115,2024-05-20,Completed,Apple Pay
1033,67,2024-04-25,Completed,Debit Card
1034,125,2024-05-13,Returned,PayPal
1035,113,11-03-2024,Completed,Debit Card
1036,70,2024-03-01,Completed,Debit Card
1037,21,2024-05-18,Completed,PayPal
1038,99,2024-02-29,Returned,PayPal
1039,55,2024-06-29,Completed,Apple Pay
1040,99999,,Completed,Apple Pay
1041,16,2024-04-16,Completed,Apple Pay
1042,198,2024-04-09,Cancelled,Credit Card
1043,98,2024-05-27,Pending,Credit Card
1044,77,2024-03-31,Pending,Apple Pay
1045,192,2024-05-17,Returned,PayPal
1046,57,2024-05-04,Completed,Apple Pay
1047,8,2024-05-04,Pending,Debit Card
1048,174,2024-06-20,Pending,PayPal
1049,33,2024-04-29,Cancelled,Credit Card
1050,152,2029-06-15,Cancelled,Credit Card
1051,165,2024-01-22,Pending,PayPal
1052,47,2024-04-28,Completed,Debit Card
1053,84,2024-04-07,Completed,Apple Pay
1054,87,2024-03-24,Pending,Debit Card
1055,65,2024-04-17,Completed,Apple Pay
1056,192,2024-01-05,Cancelled,Credit Card
1057,58,2024-03-30,Returned,Credit Card
1058,11,2024-06-15,Completed,PayPal
1059,6,2024-02-21,Cancelled,PayPal
1060,33,,Pending,Credit Card
1061,56,2024-05-24,Pending,Debit Card
1062,43,2024-04-04,Cancelled,Credit Card
